id;status;description;updated_time;action_done_branch_manager_id
1;APPROVED;Integrated engineer;2021-04-17T20:48:34;Kiribati
2;REJECTED;Car;2021-04-18T12:53:39;Lead
3;APPLIED;lime;2021-04-17T16:09:55;Practical Rubber Shirt compress
4;CANCELLED;payment;2021-04-18T14:02:05;Steel
5;REPROCESS;Licensed Solutions;2021-04-18T09:55:19;Sausages
6;REPROCESS;Awesome quantifying engineer;2021-04-18T13:20:28;Rhode Island
7;APPLIED;content Ergonomic Bedfordshire;2021-04-18T07:53:48;object-oriented Gorgeous Soft Table
8;APPLIED;Practical Fresh Hat Infrastructure online;2021-04-18T10:03:14;Functionality 24/7 Unbranded Rubber Ball
9;APPLIED;cross-platform Wooden Implementation;2021-04-18T03:21:28;Bahamas Avon
10;REPROCESS;Plastic Shirt;2021-04-18T05:38:37;ivory Movies sky blue
